GR,RHOB,ILD,SP,NPHI
-999.0,-999.0,-999.0,-37.1875,-999.0
-999.0,-999.0,-999.0,-37.375,-999.0
-999.0,-999.0,-999.0,-37.375,-999.0
-999.0,-999.0,-999.0,-37.78129959,-999.0
-999.0,-999.0,-999.0,-38.5,-999.0
-999.0,-999.0,-999.0,-38.15629959,-999.0
-999.0,-999.0,-999.0,-38.1875,-999.0
-999.0,-999.0,-999.0,-38.25,-999.0
-999.0,-999.0,-999.0,-38.65629959,-999.0
-999.0,-999.0,-999.0,-39.03129959,-999.0
-999.0,-999.0,-999.0,-39.21879959,-999.0
-999.0,-999.0,-999.0,-39.65629959,-999.0
-999.0,-999.0,-999.0,-40.4375,-999.0
-999.0,-999.0,-999.0,-41.3125,-999.0
-999.0,-999.0,-999.0,-41.34379959,-999.0
-999.0,-999.0,-999.0,-40.78129959,-999.0
-999.0,-999.0,-999.0,-39.90629959,-999.0
-999.0,-999.0,-999.0,-39.25,-999.0
-999.0,-999.0,-999.0,-38.90629959,-999.0
-999.0,-999.0,-999.0,-38.8125,-999.0
-999.0,-999.0,-999.0,-38.875,-999.0
-999.0,-999.0,-999.0,-39.03129959,-999.0
-999.0,-999.0,-999.0,-39.125,-999.0
-999.0,-999.0,-999.0,-39.1875,-999.0
-999.0,-999.0,-999.0,-38.96879959,-999.0
-999.0,-999.0,-999.0,-39.4375,-999.0
-999.0,-999.0,-999.0,-39.5625,-999.0
-999.0,-999.0,-999.0,-39.0625,-999.0
-999.0,-999.0,-999.0,-38.84379959,-999.0
-999.0,-999.0,-999.0,-39.15629959,-999.0
-999.0,-999.0,-999.0,-39.5625,-999.0
-999.0,-999.0,-999.0,-39.5,-999.0
-999.0,-999.0,-999.0,-39.53129959,-999.0
-999.0,-999.0,-999.0,-39.625,-999.0
-999.0,-999.0,-999.0,-39.6875,-999.0
-999.0,-999.0,-999.0,-39.6875,-999.0
-999.0,-999.0,-999.0,-39.625,-999.0
-999.0,-999.0,-999.0,-39.59379959,-999.0
-999.0,-999.0,-999.0,-39.59379959,-999.0
-999.0,-999.0,-999.0,-39.6875,-999.0
-999.0,-999.0,-999.0,-40.15629959,-999.0
-999.0,-999.0,-999.0,-40.5625,-999.0
-999.0,-999.0,-999.0,-41.375,-999.0
-999.0,-999.0,-999.0,-41.9375,-999.0
-999.0,-999.0,-999.0,-42.5,-999.0
-999.0,-999.0,-999.0,-43.09379959,-999.0
-999.0,-999.0,-999.0,-43.53129959,-999.0
-999.0,-999.0,-999.0,-44.75,-999.0
-999.0,-999.0,-999.0,-45.03129959,-999.0
-999.0,-999.0,-999.0,-45.09379959,-999.0
-999.0,-999.0,-999.0,-45.625,-999.0
-999.0,-999.0,-999.0,-46.25,-999.0
-999.0,-999.0,-999.0,-46.40629959,-999.0
-999.0,-999.0,-999.0,-45.8125,-999.0
-999.0,-999.0,-999.0,-44.9375,-999.0
-999.0,-999.0,-999.0,-43.96879959,-999.0
-999.0,-999.0,-999.0,-43.03129959,-999.0
-999.0,-999.0,-999.0,-41.84379959,-999.0
-999.0,-999.0,-999.0,-40.5625,-999.0
-999.0,-999.0,-999.0,-39.875,-999.0
-999.0,-999.0,-999.0,-39.28129959,-999.0
-999.0,-999.0,-999.0,-39.03129959,-999.0
-999.0,-999.0,-999.0,-38.90629959,-999.0
-999.0,-999.0,-999.0,-38.90629959,-999.0
-999.0,-999.0,-999.0,-38.9375,-999.0
-999.0,-999.0,-999.0,-38.875,-999.0
-999.0,-999.0,-999.0,-38.75,-999.0
-999.0,-999.0,-999.0,-38.90629959,-999.0
-999.0,-999.0,-999.0,-39.21879959,-999.0
-999.0,-999.0,-999.0,-39.4375,-999.0
-999.0,-999.0,-999.0,-38.75,-999.0
-999.0,-999.0,-999.0,-38.3125,-999.0
-999.0,-999.0,-999.0,-38.3125,-999.0
-999.0,-999.0,-999.0,-38.5,-999.0
-999.0,-999.0,-999.0,-38.59379959,-999.0
-999.0,-999.0,-999.0,-38.40629959,-999.0
-999.0,-999.0,-999.0,-38.34379959,-999.0
-999.0,-999.0,-999.0,-38.3125,-999.0
-999.0,-999.0,-999.0,-38.125,-999.0
-999.0,-999.0,-999.0,-37.78129959,-999.0
-999.0,-999.0,-999.0,-37.53129959,-999.0
-999.0,-999.0,-999.0,-37.34379959,-999.0
-999.0,-999.0,-999.0,-37.15629959,-999.0
-999.0,-999.0,-999.0,-37.25,-999.0
-999.0,-999.0,-999.0,-37.46879959,-999.0
-999.0,-999.0,-999.0,-37.65629959,-999.0
-999.0,-999.0,-999.0,-37.96879959,-999.0
-999.0,-999.0,-999.0,-38.1875,-999.0
-999.0,-999.0,-999.0,-38.3125,-999.0
-999.0,-999.0,-999.0,-38.4375,-999.0
-999.0,-999.0,-999.0,-38.75,-999.0
-999.0,-999.0,-999.0,-38.59379959,-999.0
-999.0,-999.0,-999.0,-37.9375,-999.0
-999.0,-999.0,-999.0,-37.71879959,-999.0
-999.0,-999.0,-999.0,-37.75,-999.0
-999.0,-999.0,-999.0,-37.59379959,-999.0
-999.0,-999.0,-999.0,-37.65629959,-999.0
-999.0,-999.0,-999.0,-37.6875,-999.0
-999.0,-999.0,-999.0,-37.59379959,-999.0
-999.0,-999.0,-999.0,-37.25,-999.0
-999.0,-999.0,-999.0,-36.84379959,-999.0
-999.0,-999.0,-999.0,-36.375,-999.0
-999.0,-999.0,-999.0,-36.0625,-999.0
-999.0,-999.0,-999.0,-35.71879959,-999.0
-999.0,-999.0,-999.0,-35.71879959,-999.0
-999.0,-999.0,-999.0,-36.0,-999.0
-999.0,-999.0,-999.0,-36.375,-999.0
-999.0,-999.0,-999.0,-36.90629959,-999.0
-999.0,-999.0,-999.0,-36.9375,-999.0
